Id,ValueAttribute,Value,StringValue,Measure,Type waarde,Beroepsklasse,Perioden,RegioCode,RegioS
64,None,103.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0758,Breda
65,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0501,Brielle
66,None,20.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1876,Bronckhorst
67,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0213,Brummen
68,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0899,Brunssum
69,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0312,Bunnik
70,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0313,Bunschoten
71,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0214,Buren
72,None,35.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0502,Capelle aan den IJssel
73,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0383,Castricum
74,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0109,Coevorden
75,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1706,Cranendonck
76,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0216,Culemborg
77,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0148,Dalfsen
78,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1891,Dantumadiel
79,None,58.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0503,Delft
80,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0762,Deurne
81,None,55.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0150,Deventer
82,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0384,Diemen
83,None,48.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1980,Dijk en Waard
84,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1774,Dinkelland
85,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0221,Doesburg
86,None,32.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0222,Doetinchem
87,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0766,Dongen
88,None,63.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0505,Dordrecht
89,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0498,Drechterland
90,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1719,Drimmelen
91,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0303,Dronten
92,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0225,Druten
93,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0226,Duiven
94,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1711,Echt-Susteren
95,None,20.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0385,Edam-Volendam
96,None,65.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0228,Ede
97,None,5.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0317,Eemnes
98,None,23.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1979,Eemsdelta
99,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0770,Eersel
100,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1903,Eijsden-Margraten
101,None,135.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0772,Eindhoven
102,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0230,Elburg
